basDt,idxNm,clpr,change_rate
20241202,코스피,2454.48,-0.0005822688942184184
20241203,코스피,2500.1,0.018586421563834277
20241204,코스피,2464.0,-0.014439422423103032
20241205,코스피,2441.85,-0.008989448051948123
20241206,코스피,2428.16,-0.005606404979830892
20241209,코스피,2360.58,-0.027831773853452813
20241210,코스피,2417.84,0.024256750459632936
20241211,코스피,2442.51,0.010203321973331514
20241212,코스피,2482.12,0.01621692439334943
20241213,코스피,2494.46,0.004971556572607394
20241216,코스피,2488.97,-0.0022008771437506125
20241217,코스피,2456.81,-0.012921007485023894
20241218,코스피,2484.43,0.01124222060313973
20241219,코스피,2435.93,-0.019521580402748318
20241220,코스피,2404.15,-0.013046351906663922
20241223,코스피,2442.01,0.015747769481937457
20241224,코스피,2440.52,-0.0006101531115761949
20241226,코스피,2429.67,-0.004445773851474266
20241227,코스피,2404.77,-0.010248305325414653
20241230,코스피,2399.49,-0.0021956361731060303
20250102,코스피,2398.94,-0.00022921537493370003
20250103,코스피,2441.92,0.017916246342134512
20250106,코스피,2488.64,0.01913248591272443
20250107,코스피,2492.1,0.001390317603188862
20250108,코스피,2521.05,0.011616708799807585
20250109,코스피,2521.9,0.0003371611035083433
20250110,코스피,2515.78,-0.002426741742337035
20250113,코스피,2489.56,-0.010422214979052269
20250114,코스피,2497.4,0.003149150853966276
20250115,코스피,2496.81,-0.00023624569552338492
20250116,코스피,2527.49,0.012287679078504032
20250117,코스피,2523.55,-0.0015588587887586103
20250120,코스피,2520.05,-0.0013869350716252393
20250121,코스피,2518.03,-0.0008015713973928973
20250122,코스피,2547.06,0.011528853905632408
20250123,코스피,2515.49,-0.012394682496682519
20250124,코스피,2536.8,0.008471510520813297
20250131,코스피,2517.37,-0.007659255755282368
20250203,코스피,2453.95,-0.025192959318654062
20250204,코스피,2481.69,0.011304223802441005
20250205,코스피,2509.27,0.011113394501327756
20250206,코스피,2536.75,0.010951392237583013
20250207,코스피,2521.92,-0.005846062875726754
20250210,코스피,2521.27,-0.0002577401345007502
20250211,코스피,2539.05,0.007052001570637012
20250212,코스피,2548.39,0.0036785411866642193
20250213,코스피,2583.17,0.013647832553102202
20250214,코스피,2591.05,0.0030505154519446798
20250217,코스피,2610.42,0.007475733775882398
20250218,코스피,2626.81,0.006278683123788431
20250219,코스피,2671.52,0.017020644812529184
